3;39679;39692;39695;0;39703
4;39675;39689;39691;0;39703
1;39686;39698;39699;0;39703
4;39676;39689;39691;0;39703
1;39679;39695;39699;0;39703
2;39683;39697;39699;39701;39703
3;39683;39696;39698;0;39703
5;39695;39696;39697;0;39703
1;39687;39699;39701;0;39703
2;39686;39698;39699;39701;39703
4;39679;39692;39695;0;39703
2;39679;39694;39699;39701;39703
2;39685;39697;39699;39701;39703
2;39683;39697;39699;39701;39704
4;39679;39692;39695;0;39704
2;39683;39696;39699;39701;39704
2;39679;39692;39699;39701;39704
2;39679;39694;39699;39701;39704
2;39685;39698;39699;39701;39704
2;39680;39695;39699;39701;39704
4;39679;39693;39695;0;39704
2;39684;39697;39699;39701;39704
2;39684;39697;39699;39701;39704
2;39679;39692;39699;39701;39705
5;39697;39698;39699;0;39705
5;39696;39697;39698;0;39705
3;39683;39696;39698;0;39705
2;39682;39696;39699;39701;39705
2;39682;39696;39699;39701;39705
1;39688;39700;39701;0;39705
5;39696;39697;39698;0;39706
4;39680;39695;39697;0;39707
4;39687;39699;39702;0;39707
5;39696;39697;39698;0;39707
4;39679;39694;39696;0;39707
3;39685;39697;39700;0;39707
4;39685;39697;39700;0;39707
4;39684;39697;39700;0;39707
4;39680;39695;39697;0;39707
4;39684;39697;39700;0;39708
3;39684;39697;39700;0;39708
1;39693;39705;39706;0;39708
4;39679;39694;39696;0;39708
3;39689;39701;39703;0;39708
4;39679;39695;39697;0;39708
1;39689;39702;39706;0;39708
5;39699;39700;39701;0;39708
4;39686;39698;39700;0;39708
3;39684;39697;39700;0;39708
1;39691;39703;39706;0;39708
1;39693;39705;39706;0;39709
1;39689;39702;39706;0;39709
4;39682;39696;39698;0;39709
3;39688;39700;39702;0;39709
4;39681;39696;39698;0;39709
1;39691;39703;39706;0;39709
3;39689;39701;39703;0;39710
2;39692;39704;39706;39708;39710
2;39690;39703;39706;39708;39710
1;39690;39702;39706;0;39710
2;39692;39704;39706;39708;39710
4;39685;39697;39700;0;39710
1;39693;39705;39706;0;39710
1;39692;39704;39706;0;39710
2;39692;39704;39706;39708;39711
1;39694;39707;39708;0;39711
2;39690;39703;39706;39708;39711
1;39694;39707;39708;0;39711
2;39691;39704;39706;39708;39711
2;39689;39702;39706;39708;39711
2;39689;39702;39706;39708;39711
2;39688;39701;39706;39708;39711
5;39702;39703;39704;0;39711
2;39688;39701;39706;39708;39711
2;39687;39700;39706;39708;39711
2;39693;39705;39706;39708;39711
4;39680;39695;39697;0;39711
4;39680;39695;39697;0;39711
4;39688;39701;39703;0;39711
5;39700;39701;39702;0;39712
2;39689;39701;39706;39708;39712
3;39691;39704;39707;0;39712
2;39688;39701;39706;39708;39712
4;39687;39699;39702;0;39712
3;39691;39703;39705;0;39712
5;39700;39701;39702;0;39712
4;39689;39701;39703;0;39712
4;39684;39697;39700;0;39712
4;39688;39700;39702;0;39713
4;39687;39699;39702;0;39713
4;39691;39703;39705;0;39713
4;39689;39701;39703;0;39713
3;39690;39703;39705;0;39713
4;39690;39703;39705;0;39714
4;39691;39703;39705;0;39714
4;39688;39701;39703;0;39714
4;39691;39703;39705;0;39714
4;39686;39698;39700;0;39714
4;39690;39702;39704;0;39714
4;39683;39697;39700;0;39715
4;39695;39708;39710;0;39715
4;39692;39704;39707;0;39715
4;39690;39703;39705;0;39715
4;39690;39703;39705;0;39715
4;39690;39702;39704;0;39715
1;39701;39712;39713;0;39715
1;39696;39709;39713;0;39715
1;39699;39711;39713;0;39715
4;39688;39701;39703;0;39715
4;39692;39704;39707;0;39715
4;39692;39705;39707;0;39716
3;39692;39705;39707;0;39716
